boot,minute,raw,pct
5,871,1,1994,79.90
5,872,1,1988,79.88
5,873,1,2000,79.84
5,874,1,2002,79.87
5,875,1,1994,79.86
5,876,1,1998,79.83
5,877,1,1996,79.79
5,878,1,1996,79.80
5,879,1,1996,79.84
5,880,1,1992,79.80
5,881,1,1994,79.81
5,882,1,1998,79.82
5,883,1,1998,79.81
5,884,1,1996,79.77
5,885,1,2000,79.77
5,886,1,2002,79.75
5,887,1,1994,79.74
5,888,1,1996,79.73
5,889,1,1994,79.76
5,890,1,1998,79.73
5,891,1,1996,79.71
5,892,1,2000,79.75
5,893,1,2002,79.73
5,894,1,1994,79.77
5,895,1,1996,79.77
5,896,1,1994,79.77
5,897,1,1990,79.77
5,898,1,1996,79.79
5,899,1,1994,79.80
5,900,1,2000,79.80
5,901,1,2000,79.77
5,902,1,1998,79.79
5,903,1,1994,79.82
5,904,1,1992,79.85
5,905,1,1990,79.83
5,906,1,1992,79.81
5,907,1,1992,79.82
5,908,1,2000,79.80
5,909,1,1994,79.83
5,910,1,1998,79.83
5,911,1,1994,79.80
5,912,1,1996,79.83
5,913,1,1998,79.82
5,914,1,1998,79.82
5,915,1,1990,79.86
5,916,1,2002,79.77
5,917,1,1992,79.79
5,918,1,1998,79.79
5,919,1,1994,79.75
5,920,1,1992,79.75
5,921,1,1998,79.78
5,922,1,1998,79.77
5,923,1,1996,79.78
5,924,1,1996,79.76
5,925,1,1998,79.78
5,926,1,1998,79.74
5,927,1,2000,79.75
5,928,1,1998,79.73
5,929,1,1994,79.74
5,930,1,1994,79.75
5,931,1,1996,79.77
5,932,1,1998,79.76
5,933,1,2000,79.77
5,934,1,1998,79.76
5,935,1,1996,79.78
5,936,1,1998,79.77
5,937,1,1996,79.78
5,938,1,1994,79.78
5,939,1,2000,79.78
5,940,1,1996,79.80
5,941,1,1996,79.78
5,942,1,1998,79.81
5,943,1,1994,79.79
5,944,1,1992,79.81
5,945,1,1998,79.77
5,946,1,1988,79.79
5,947,1,1998,79.79
5,948,1,1998,79.80
5,949,1,1998,79.76
5,950,1,1996,79.81
5,951,1,1992,79.83
5,952,1,2000,79.80
5,953,1,1994,79.82
5,954,1,1996,79.82
5,955,1,1996,79.81
5,956,1,1992,79.78
5,957,1,1994,79.83
5,958,1,1990,79.83
5,959,1,1992,79.83
5,960,1,1998,79.85
5,961,1,1994,79.82
5,962,1,1998,79.84
5,963,1,2002,79.85
5,964,1,1994,79.87
5,965,1,1994,79.82
5,966,1,1996,79.84
5,967,1,1994,79.85
5,968,1,1994,79.87
5,969,1,1990,79.86
5,970,1,1998,79.91
5,971,1,2000,79.95
5,972,1,2000,79.85
5,973,1,1988,79.86
5,974,1,1992,79.87
5,975,1,1994,79.90
5,976,1,1996,79.85
5,977,1,2000,79.84
5,978,1,1994,79.86
5,979,1,1992,79.86
5,980,1,1998,79.86
5,981,1,1996,79.88
5,982,1,1996,79.83
5,983,1,1998,79.87
5,984,1,1998,79.83
5,985,1,2002,79.84
5,986,1,1994,79.84
5,987,1,1996,79.86
5,988,1,1994,79.86
5,989,1,1998,79.84
5,990,1,1996,79.84
5,991,1,1996,79.86
6,992,1,2002,79.51
7,993,1,1992,80.02
7,994,1,1994,79.94
7,995,1,1990,79.98
7,996,1,1992,80.03
7,997,1,1992,79.98
7,998,1,1994,79.95
7,999,1,1992,79.93
7,1000,1,1992,79.97
7,1001,1,1994,79.95
7,1002,1,1992,79.97
7,1003,1,1992,79.97
7,1004,1,1994,79.96
